"year","region","pop","pop.lb","pop.ub"
2130,"OT",162.220737694903,160.825104715987,163.611144985707
2130,"EE",389.538954528177,388.168187162235,391.007900340825
2130,"CA",1237.46501013793,1232.32871429767,1242.69027896277
2130,"IA",4008.28224323937,3997.70817979127,4019.67577574625
2130,"AF",8646.17792123882,8503.34963032423,8797.28828942296
2130,"LA",1396.35925405435,1387.36154701004,1405.93888131661
2131,"EU",190.491426389423,187.682962792361,193.306181864128
2131,"US",159.915741563806,157.81859298495,162.029777450837
2131,"OT",161.47328912699,159.999299275715,162.940472877761
2131,"EE",390.417349722744,388.960906568981,391.980848866694
2131,"CA",1234.8770639839,1229.43883916563,1240.40123251328
2131,"IA",4015.18132355859,4003.94969851239,4027.30306244568
2131,"AF",8731.60242756936,8578.80442193477,8893.69648842715
2131,"LA",1401.95687737545,1392.38302093334,1412.17012331539
2132,"EU",189.06001564577,186.108973506766,192.015372696024
2132,"US",158.847054721541,156.641510742946,161.068217410743
2132,"OT",160.73595629397,159.182287273012,162.281064529556
2132,"EE",391.290652227674,389.746320423916,392.95141692193
2132,"CA",1232.31864114687,1226.57222883913,1238.14718965289
2132,"IA",4022.03809438694,4010.13218547616,4034.90845779821
2132,"AF",8817.13610114759,8654.01650229544,8990.6502023861
2132,"LA",1407.53024535639,1397.36426881215,1418.39680487012
2133,"EU",187.651925744381,184.55674968823,190.749303503783
2133,"US",157.794923027568,155.479646399903,160.12439478966
2133,"OT",160.008570142248,158.373952004118,161.632696261039
2133,"EE",392.158878495986,390.524478894035,393.91959874649
2133,"CA",1229.78935009378,1223.72866062328,1235.92756831047
2133,"IA",4028.85274291632,4016.25609400287,4042.49195717059
2133,"AF",8902.77220751915,8728.97881337747,9088.14700014475
2133,"LA",1413.07929625392,1402.30541648568,1424.61878817852
2134,"EU",186.266680058885,183.025919675616,189.50739772261
2134,"US",156.759025318017,154.332755336933,159.197912883957
2134,"OT",159.290965049619,157.574178624502,160.99515002753
2134,"EE",393.022045167932,391.295432200389,394.885388710027
2134,"CA",1227.28880547629,1220.9079144018,1233.74179749905
2134,"IA",4035.62545682355,4022.32187625965,4050.0535566568
2134,"AF",8988.5040504944,8803.68446695168,9186.18440446873
2134,"LA",1418.60397163547,1407.20659436472,1430.83593647734
2135,"EU",184.903813700769,181.51611927769,188.289095035611
2135,"US",155.739047959435,153.200594343563,158.288385721621
2135,"OT",158.582978743429,156.782854114629,160.36821335586
2135,"EE",393.880169065732,392.059230606512,395.848781311045
2135,"CA",1224.81662801492,1218.10977260184,1231.58931706719
2135,"IA",4042.35642424138,4028.32998320324,4057.59325307173
2135,"AF",9074.32497344076,8878.12674407466,9284.75989253947
2135,"LA",1424.10421633484,1412.06793729244,1437.04811404552
2136,"EU",183.562873184127,180.026991602288,187.093850837568
2136,"US",154.734684643306,152.08292853162,157.395437721217
2136,"OT",157.884452220969,155.999867246432,159.751678780416
2136,"EE",394.733267188397,392.815924407127,396.809771176055
2136,"CA",1222.37244438566,1215.33402015919,1229.46957745705
2136,"IA",4049.04583372997,4034.28086452457,4065.11104394482
2136,"AF",9160.22836053746,8952.29909448482,9383.87089645522
2136,"LA",1429.57997840807,1416.88958462602,1443.25518620709
2137,"EU",182.243416101202,178.558186889839,185.921135718821
2137,"US",153.745636186931,150.979527448432,156.518703363198
2137,"OT",157.195229672021,155.225108550472,159.145343703483
2137,"EE",395.581356706612,393.565563917142,397.768353058726
2137,"CA",1219.95588710908,1212.58044448421,1227.38203946864
2137,"IA",4055.69387424889,4040.17496859498,4072.60692751372
2137,"AF",9246.20763799301,9026.19513591182,9483.51480373793
2137,"LA",1435.03120908928,1421.67168030671,1449.45701933404
2138,"EU",180.945010808365,177.109362351107,184.770434968415
2138,"US",152.771610340429,149.890164981096,155.657826873061
2138,"OT",156.515158403502,154.458470283788,158.549010260073
2138,"EE",396.424454957693,394.308199460927,398.724521839036
2138,"CA",1217.56659444186,1209.84883542813,1225.32617403023
2138,"IA",4062.30073512959,4046.01274241416,4080.08090271799
2138,"AF",9332.25627522556,9099.80865330259,9583.68895784576
2138,"LA",1440.45786274677,1426.41437169533,1455.65348084891
2139,"EU",179.667236122138,175.680182009046,183.6412480957
2139,"US",151.812321599651,148.814619263046,154.812461915876
2139,"OT",155.844088766135,153.699846398396,157.962485187058
2139,"EE",397.262579440616,395.043881361864,399.678272522421
2139,"CA",1215.20421027055,1207.13898525001,1223.30146197474
2139,"IA",4068.86660604831,4051.7946315597,4087.53296919279
2139,"AF",9418.36778600633,9173.13359796729,9684.39065869093
2139,"LA",1445.85989683911,1431.11781004804,1461.84443922732
2140,"EU",178.409681024916,174.270316544655,182.533088369638
2140,"US",150.867491024818,147.752672582872,153.982271301736
2140,"OT",155.181874083084,152.949132510446,157.385579696473
2140,"EE",398.095747811114,395.772659932172,400.629600238922
2140,"CA",1212.86838400769,1204.45068858415,1221.30739382186
2140,"IA",4075.39167699954,4057.52108013832,4094.96312726264
2140,"AF",9504.53572956647,9246.16408664828,9785.61716316292
2140,"LA",1451.2372718715,1435.78215038762,1468.02976400029
2141,"EU",177.171944380039,172.879443146708,181.445482375081
2141,"US",149.936846064675,146.704111295326,153.16692670168
2141,"OT",154.52837058051,152.206225870004,156.818109352822
2141,"EE",398.923977876848,396.494585462998,401.578500242335
2141,"CA",1210.55877049016,1201.78374240794,1219.34346956578
2141,"IA",4081.87613826989,4063.19253073859,4102.37137793512
2141,"AF",9590.75371166732,9318.89440051541,9887.36568565664
2141,"LA",1456.58995135216,1440.40755137674,1474.20932575642
2142,"EU",175.953634655889,171.507245365271,180.377969585318
2142,"US",149.020120385982,145.668725734456,152.366108373696
2142,"OT",153.883437319965,151.471025331456,156.259893954261
2142,"EE",399.747287592638,397.209708214777,402.524967909355
2142,"CA",1208.27502987967,1199.13794601035,1217.40919846838
2142,"IA",4088.32018041245,4068.8094243853,4109.75772289466
2142,"AF",9677.01538563471,9391.31898409075,9989.63339860558
2142,"LA",1461.91790174898,1444.9941751934,1480.38299614392
2143,"EU",174.754369658687,170.153412968883,179.330101950235
2143,"US",148.117053708162,144.646310128817,151.579504898376
2143,"OT",153.246936132595,150.743431324513,155.710757417511
2143,"EE",400.565695055775,397.918078407843,403.468998738722
2143,"CA",1206.01682756532,1196.51310096081,1215.50409885763
2143,"IA",4094.7239942216,4074.37220049529,4117.12216449632
2143,"AF",9763.31445335718,9463.43244410573,10092.4174330195
2143,"LA",1467.22109244624,1449.54218740837,1486.55064787252
2144,"EU",173.573776273705,168.817641805321,178.301443499451
2144,"US",147.227391642928,143.636662518695,150.806812923877
2144,"OT",152.618731555078,150.023345825812,155.170527666369
2144,"EE",401.379218501389,398.619746213303,404.410588350364
2144,"CA",1203.78383406835,1193.90901107856,1213.62769793124
2144,"IA",4101.08777070827,4079.88129683484,4124.4647057596
2144,"AF",9849.64466624881,9535.22954829388,10195.714879027
2144,"LA",1472.49949570162,1454.05175686485,1492.71215471517
2145,"EU",172.411490214565,167.499633665826,177.291569959825
2145,"US",146.350885538729,142.639584675304,150.047736919786
2145,"OT",151.998690767261,149.310672331086,154.639036523696
2145,"EE",402.187876297896,399.314761744156,405.349732484543
2145,"CA",1201.57572494876,1191.32548240252,1211.77953156514
2145,"IA",4107.41170107565,4085.33714947844,4131.78535036225
2145,"AF",9935.99982617662,9606.70522412214,10299.5227864216
2145,"LA",1477.75308660335,1458.52305556001,1498.86739150966
2146,"EU",171.267155780388,166.199096152717,176.300068386745
2146,"US",145.487292329844,141.654882021893,149.301988939576
2146,"OT",151.386683531436,148.605321055209,154.116119606763
2146,"EE",402.991686942502,400.003175046664,406.286427000999
2146,"CA",1199.39218071403,1188.76232316161,1209.9591441269
2146,"IA",4113.69597669535,4090.74019276908,4139.08410263414
2146,"AF",10022.3737863531,9677.85455746352,10403.8381652133
2146,"LA",1482.98184302749,1462.95621994325,1505.01623416005
2147,"EU",170.140425620479,164.91574255029,175.326536808659
2147,"US",144.636374389987,140.682363556719,148.569288391292
2147,"OT",150.782582133207,147.907200381199,153.601616225823
2147,"EE",403.790669056783,400.685036091964,407.220667878089
2147,"CA",1197.23288672967,1186.21934374549,1208.16608829378
2147,"IA",4119.94078908402,4096.09085927991,4146.36096755112
2147,"AF",10108.7604521941,9748.67279121427,10508.6579861825
2147,"LA",1488.18574559557,1467.35135194264,1511.15855963799
2148,"EU",169.030960506318,163.649291698911,174.370583884313
2148,"US",143.797899390251,139.721841777842,147.849361816169
2148,"OT",150.186261323912,147.216218329975,153.095369285816
2148,"EE",404.584841382325,401.360394767913,408.152451211934
2148,"CA",1195.09753313168,1183.69635667582,1206.39992487541
2148,"IA",4126.14632988032,4101.38957977731,4153.61595072888
2148,"AF",10195.1537821424,9819.15533649305,10613.9789129667
2148,"LA",1493.36477763228,1471.70862906781,1517.29424598386
2149,"EU",167.938429110588,162.39946787222,173.431828572181
2149,"US",142.971640161265,138.773132609677,147.141942674856
2149,"OT",149.597598264536,146.53228432968,152.597225191086
2149,"EE",405.374222776433,402.029300871177,409.081773215559
2149,"CA",1192.98581474084,1181.19317857058,1204.66022264079
