"Region","year","value","value.lb","value.ub"
"LBR",2016,4.99109023594115,4.99109023594115,4.99109023594115
"LBY",2016,7.07237734992206,7.07237734992206,7.07237734992206
"LCA",2016,0.185765782040621,0.185765782040621,0.185765782040621
"LKA",2016,21.9425390726224,21.9425390726224,21.9425390726224
"LSO",2016,2.29485055150542,2.29485055150542,2.29485055150542
"LTU",2016,3.2577585113563,3.2577585113563,3.2577585113563
"LUX",2016,0.549910703568131,0.549910703568131,0.549910703568131
"LVA",2016,2.17609172525064,2.17609172525064,2.17609172525064
"MAC",2016,0.588722987194919,0.588722987194919,0.588722987194919
"MAR",2016,34.0809362721108,34.0809362721108,34.0809362721108
"MDA",2016,3.3830660861495,3.3830660861495,3.3830660861495
"MDG",2016,24.4901397056609,24.4901397056609,24.4901397056609
"MDV",2016,0.345047869910041,0.345047869910041,0.345047869910041
"MEX",2016,122.354173718276,122.354173718276,122.354173718276
"MKD",2016,2.10075626114422,2.10075626114422,2.10075626114422
"MLI",2016,18.5429478259363,18.5429478259363,18.5429478259363
"MLT",2016,0.425588059451743,0.425588059451743,0.425588059451743
"MMR",2016,49.735322889365,49.735322889365,49.735322889365
"MNE",2016,0.644382254718852,0.644382254718852,0.644382254718852
"MNG",2016,3.02150989091119,3.02150989091119,3.02150989091119
"MOZ",2016,26.6500352123283,26.6500352123283,26.6500352123283
"MRT",2016,3.96472621798725,3.96472621798725,3.96472621798725
"MUS",2016,1.34290580819,1.34290580819,1.34290580819
"MWI",2016,17.960996652746,17.960996652746,17.960996652746
"MYS",2016,31.294274440359,31.294274440359,31.294274440359
"NAM",2016,2.51056319606068,2.51056319606068,2.51056319606068
"NCL",2016,0.273697342050501,0.273697342050501,0.273697342050501
"NER",2016,19.3009894641781,19.3009894641781,19.3009894641781
"NGA",2016,185.239528695805,185.239528695805,185.239528695805
"NIC",2016,6.27567981446314,6.27567981446314,6.27567981446314
"NLD",2016,16.8763047358555,16.8763047358555,16.8763047358555
"NOR",2016,5.13313977103059,5.13313977103059,5.13313977103059
"NPL",2016,33.8374256945772,33.8374256945772,33.8374256945772
"NZL",2016,4.61189437915384,4.61189437915384,4.61189437915384
"OMN",2016,3.10567831833015,3.10567831833015,3.10567831833015
"PAK",2016,195.524690413395,195.524690413395,195.524690413395
"PAN",2016,3.84260297128204,3.84260297128204,3.84260297128204
"PER",2016,30.9876143789827,30.9876143789827,30.9876143789827
"PHL",2016,104.005708068902,104.005708068902,104.005708068902
"PNG",2016,7.73228673127005,7.73228673127005,7.73228673127005
"POL",2016,38.1780244548954,38.1780244548954,38.1780244548954
"PRI",2016,3.74359639350999,3.74359639350999,3.74359639350999
"PRT",2016,10.7259932798176,10.7259932798176,10.7259932798176
"PRY",2016,7.15240550312533,7.15240550312533,7.15240550312533
"PSE",2016,4.64721151034328,4.64721151034328,4.64721151034328
"PYF",2016,0.290322191919666,0.290322191919666,0.290322191919666
"QAT",2016,2.27724971421158,2.27724971421158,2.27724971421158
"ROU",2016,21.1533681877641,21.1533681877641,21.1533681877641
"RUS",2016,142.454602810896,142.454602810896,142.454602810896
"RWA",2016,12.6129360340473,12.6129360340473,12.6129360340473
"SAU",2016,31.7551025362818,31.7551025362818,31.7551025362818
"SDN",2016,51.2314169918793,51.2314169918793,51.2314169918793
